name,Asian,Black,Hispanic,Native American,Pacific Islander,White,bw_rate_difference
Alabama,1.9828601568045814,5.834161215486946,0.0,0.0,0.0,3.30271685058634,2.5314443649006066
Alaska,0.0,23.622512254178236,2.971423817150464,15.890230289162467,0.0,5.843120018334413,17.779392235843822
Arizona,0.0,13.593873811138996,7.366359474659184,6.969102484136581,0.0,5.149063577518609,8.444810233620387
Arkansas,2.940173352620871,9.519530852953036,1.8651461994848468,0.0,0.0,3.942975116672634,5.576555736280402
California,1.0709956701105507,12.090389034634526,4.640559026502583,6.16006307904593,8.779262990626673,3.3476537641751847,8.742735270459342
Colorado,2.964871461703867,13.458447959546353,8.26160197419241,19.143079202575894,0.0,3.7766675353002004,9.681780424246153
Connecticut,0.8288540678085514,2.7112467939506666,1.4861163297186857,0.0,0.0,1.1549547467454744,1.5562920472051922
Delaware,0.0,5.989594078554192,0.0,0.0,0.0,1.903654612329067,4.085939466225125
District of Columbia,0.0,10.48777262508949,0.0,0.0,0.0,0.5403068943159716,9.947465730773517
Florida,1.4049449378663101,7.238666678716834,1.9564376000019568,0.0,0.0,3.0478362267687586,4.1908304519480755
Georgia,0.9436843765816544,4.209874042694842,1.8313970770339147,0.0,0.0,2.9226526947659637,1.2872213479288779
Hawaii,0.553807523641351,5.1424457471973675,6.576686632391168,0.0,23.565124900517684,2.3295318479617064,2.812913899235661
Idaho,0.0,10.516574120814404,3.8796155301009674,14.475341256170115,0.0,3.526666842346923,6.989907278467481
Illinois,0.19528702114645982,7.689780785977301,1.3822642594381005,0.0,0.0,0.908778029797793,6.781002756179507
Indiana,0.0,8.854209900113444,1.812171996868567,0.0,0.0,1.9484276107996363,6.905782289313808
Iowa,0.0,7.003487736892973,1.490486226416782,0.0,0.0,1.7572940483326156,5.246193688560357
Kansas,0.0,9.391475101918848,3.7445734889189755,0.0,0.0,3.186361643853076,6.205113458065773
Kentucky,2.047162530374774,7.377801283193796,2.5527374279808956,0.0,0.0,3.267943928618073,4.109857354575723
Louisiana,6.997655785311921,7.709192507768916,3.011398746535386,0.0,0.0,2.6306133738068986,5.078579133962017
Maine,0.0,6.627871525338354,6.475845097785262,0.0,0.0,3.0867094408380122,3.5411620845003418
Maryland,0.0,6.313196577395174,1.3924082652426355,0.0,0.0,1.558039301022022,4.755157276373152
Massachusetts,0.29153150537248834,4.236930270578841,1.7717023348733563,0.0,0.0,0.7291903653535408,3.5077399052253004
Michigan,0.8597565169543986,4.260093460216234,1.1384263873575475,0.0,50.766575286831156,1.10999189055235,3.1501015696638843
Minnesota,3.465207583260275,6.7205630935797345,1.91022514868715,11.855167786189678,0.0,1.6014839734854471,5.119079120094288
Mississippi,4.429541498159526,5.387722995609904,1.4889017265304423,9.481459006911985,0.0,4.5115505909961024,0.8761724046138015
Missouri,0.0,14.853728908206767,2.7956388034665927,0.0,34.648834066733656,2.7939053102552442,12.059823597951523
Montana,0.0,0.0,3.585771658060815,10.99696263891913,0.0,4.670004266827232,-4.670004266827232
Nebraska,0.0,12.051641282897215,2.0153556666091172,17.49306837165773,0.0,2.0769992722949824,9.974642010602233
Nevada,1.122764155529782,10.472446991964143,4.939746617343847,10.837700023301055,0.0,5.4873482447368875,4.985098747227255
New Hampshire,0.0,0.0,2.750479271012974,0.0,0.0,1.872865445503771,-1.872865445503771
New Jersey,0.16411457560627207,6.34332460856712,1.1156213201928018,0.0,0.0,0.7656750242549651,5.577649584312155
New Mexico,4.36898718139161,14.436211793663226,11.02600355715838,4.627376639923001,0.0,7.9505806697347285,6.485631123928497
New York,0.0833750486493409,3.655488301904342,0.7561748140854674,0.0,0.0,0.7039640080469728,2.951524293857369
North Carolina,0.44234380287390773,4.909379548149633,1.3010352771378613,1.2187200271043335,20.50482888720294,2.262359082764796,2.647020465384837
North Dakota,0.0,0.0,0.0,14.573170065251372,0.0,1.5685954639356374,-1.5685954639356374
Ohio,1.9892728461769906,7.907834001834619,0.6415038904003433,0.0,0.0,1.8073140253613524,6.100519976473267
Oklahoma,3.1298806576505243,24.827110815565725,6.208885536090699,5.183260659699501,20.146261861111675,6.997389196342076,17.829721619223648
Oregon,0.0,15.563664032372422,2.385577751147662,0.0,0.0,3.926278391731384,11.637385640641039
Pennsylvania,0.3029464878353353,5.941155923588541,1.5082635497495456,7.5802368065978385,0.0,1.1495092052549785,4.7916467183335625
Rhode Island,0.0,6.59685725720267,0.8675780863656634,0.0,0.0,0.377963446021245,6.218893811181425
South Carolina,3.1268321282001175,3.9905931218557016,0.9648304816964423,0.0,0.0,2.963893586805513,1.0266995350501884
South Dakota,10.666552890102507,0.0,4.081982537278706,17.498186993403184,0.0,2.3774753232920665,-2.3774753232920665
Tennessee,2.1953872718032144,5.129789941357743,1.8934065147574,0.0,0.0,3.3298441120671844,1.7999458292905581
Texas,1.1761427672659475,6.486811984854315,2.740490244288432,1.5170455235020694,0.0,3.09603377990413,3.390778204950185
Utah,0.0,30.030931859815613,4.165491784368512,9.398187089710396,9.101210005870282,3.1507226067726903,26.880209253042924
Vermont,0.0,0.0,12.138426617141887,69.41552131056504,0.0,2.2261947430637337,-2.2261947430637337
Virginia,0.24694235970216777,4.638713371450137,1.2531422542024127,0.0,0.0,1.4209464115200718,3.2177669599300653
Washington,1.0037375170183696,11.739470164840945,4.420575369895455,17.763514333675776,10.459403134160151,3.223643938744874,8.51582622609607
West Virginia,9.925459796925093,25.03271320475622,0.0,0.0,0.0,4.419570064224152,20.613143140532067
Wisconsin,3.31830418064848,10.361059913404565,2.876175951501921,13.62204810217626,0.0,1.9112074265273469,8.44985248687722
Wyoming,0.0,0.0,7.633432398322681,23.423043590284124,0.0,3.539133973916583,-3.539133973916583
